date,relation_index,uncertainty_index,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
2008-11,7.858592753769143,243.0534193357711,中国,发展,经济,美国,国际
2008-12,9.58568993177801,345.34509450026917,中国,发展,经济,美国,企业
2009-01,7.701903094942264,674.2161481389661,中国,发展,美国,经济,国家
2009-02,8.247374923432723,228.7691792505787,美国,经济,中国,发展,国际
2009-03,6.867436410755527,570.850397183297,西藏,中国,发展,经济,美国
2009-04,6.772561843166791,235.08399281442544,中国,美国,发展,经济,国际
2009-05,7.637740779571973,367.91607712907074,美国,中国,发展,国家,经济
2009-06,7.699304615173961,374.27130582356966,中国,美国,发展,经济,国家
2009-07,8.496800430613384,258.45024255397453,美国,中国,经济,发展,人
2009-08,6.0149365692049335,255.36694528501062,美国,中国,经济,发展,说
2009-09,5.8145602321472145,427.14962932720647,中国,发展,美国,世界,经济
2009-10,6.720613188875843,396.2890569099951,中国,发展,美国,国家,新
2009-11,7.577861005060943,308.7612420351355,中国,发展,美国,经济,说
2009-12,7.548823021992309,229.21735029356037,中国,美国,经济,发展,国际
2010-01,6.387897227968223,332.25152813421664,中国,美国,经济,发展,国际
2010-02,5.032542238155744,172.45207408884158,美国,中国,经济,发展,国家
2010-03,5.224723333755748,558.7356382979287,中国,美国,发展,经济,国家
2010-04,6.051378881433207,354.85029765757605,中国,美国,发展,经济,国家
2010-05,5.346916049240202,222.9213995779413,美国,中国,经济,发展,国家
2010-06,7.148419698130369,352.75742682447753,美国,中国,发展,经济,国家
2010-07,6.368401620308143,255.6662908653596,美国,中国,经济,发展,国家
2010-08,8.461040709757295,383.98615232506813,美国,中国,发展,文化,国家
2010-09,8.22185548690506,278.62930762170714,中国,美国,发展,经济,国际
2010-10,4.662817118765597,272.83795019983484,中国,发展,美国,经济,国家
2010-11,4.353238418838537,361.1761720506644,中国,发展,美国,经济,国家
2010-12,6.7115219231999586,337.87222837467704,中国,美国,发展,经济,国家
2011-01,7.829649023345325,443.8269376048879,中国,美国,发展,经济,国家
2011-02,6.368582981983705,171.03298239963038,中国,美国,发展,经济,国家
2011-03,5.848376579586986,730.8020593472322,中国,发展,美国,经济,国家
2011-04,7.416661917588741,612.9560944001405,发展,中国,美国,国家,经济
2011-05,8.192327026619889,535.8937554907452,中国,美国,发展,经济,国家
2011-06,9.00550672110029,644.1215970010303,中国,发展,美国,国家,经济
2011-07,8.224121844792032,748.8457101849202,中国,美国,发展,国家,经济
2011-08,4.98955367412462,348.88071318347505,美国,中国,经济,发展,国家
2011-09,7.1652836597775975,412.789856082029,中国,美国,发展,国家,经济
2011-10,9.366272521669558,326.7320562493142,中国,美国,发展,文化,经济
2011-11,7.034442787028566,343.7025219614759,中国,发展,美国,经济,文化
2011-12,7.4800691604602525,331.7685911727952,中国,美国,发展,经济,国家
2012-01,8.994535098522844,315.53915249167284,中国,美国,经济,发展,国家
2012-02,6.375733686109716,261.5665123942496,美国,中国,发展,经济,国家
2012-03,5.1762478198169335,506.4470339926242,中国,发展,美国,经济,国家
2012-04,6.1590615257543,312.90120716846724,中国,美国,发展,经济,国家
2012-05,8.493013770080355,333.843982432136,美国,中国,发展,经济,国家
2012-06,7.258057449296426,290.79771019403114,中国,发展,美国,经济,国家
2012-07,9.885453333800095,497.0231780295697,中国,美国,发展,经济,国家
2012-08,5.887157375783105,243.1818021426127,中国,美国,发展,奥运会,经济
2012-09,6.2741435340974405,291.87035894106583,中国,美国,发展,经济,国家
2012-10,10.699949515500982,494.64595172240615,中国,发展,美国,经济,企业
2012-11,8.517537433963998,502.7492988804405,中国,发展,经济,美国,世界
2012-12,8.35702047355362,392.64767586148696,中国,美国,发展,经济,国家
2013-01,8.081002977535576,208.72098755343015,中国,美国,经济,发展,国家
2013-02,7.281268063010273,160.82077544086437,中国,美国,经济,国家,发展
2013-03,7.704725287524003,291.97754917215394,中国,发展,经济,国家,美国
2013-04,6.372071153799987,299.6990195560916,中国,美国,经济,发展,国家
2013-05,6.911642568680523,249.86913829112956,中国,美国,发展,国家,经济
2013-06,4.541652464093907,265.9829543686041,中国,美国,发展,经济,国家
2013-07,6.9106008644716805,286.99311350808085,美国,中国,经济,发展,国家
2013-08,6.6070709412603295,224.07236290242054,美国,中国,经济,发展,国家
2013-09,4.6071197070555785,354.9258921860669,中国,美国,经济,发展,国家
2013-10,7.46556768312744,285.633796039636,中国,美国,发展,经济,国家
2013-11,5.004656048643231,267.091744200954,中国,美国,发展,经济,国家
2013-12,6.226254696343268,320.954731538248,中国,美国,国家,发展,经济
2014-01,7.195954369578074,321.49671269402666,中国,美国,经济,发展,国家
2014-02,7.123549018376084,162.93863699923358,中国,美国,经济,国家,发展
2014-03,7.195554610617753,516.6832943826773,中国,美国,发展,国家,经济
2014-04,4.429827698402217,296.72571570459075,中国,美国,经济,发展,国家
2014-05,6.570610031238961,424.03061899831823,中国,美国,发展,国家,经济
2014-06,5.599655223099257,288.3358861111066,中国,美国,国家,发展,国际
2014-07,9.48994039368055,403.21370275485486,中国,发展,美国,国家,合作
2014-08,6.7901494949960615,279.2321056391009,中国,美国,发展,国家,经济
2014-09,6.427184595030434,548.7824398503525,中国,美国,发展,国家,经济
2014-10,6.999743151184304,249.2362226811484,中国,美国,经济,发展,国家
2014-11,5.635305558554064,376.54031096776316,中国,发展,经济,美国,国家
2014-12,6.6248904603810645,370.17199038024603,中国,美国,发展,国家,经济
2015-01,8.602310724846115,307.188629609531,中国,经济,发展,国家,美国
2015-02,5.2251206797889465,286.27424770907345,中国,美国,经济,国家,发展
2015-03,4.4827799800295045,656.0314415866296,中国,发展,经济,美国,国家
2015-04,5.6570361616779765,209.29671478557026,中国,美国,发展,经济,企业
2015-05,8.291442711124661,356.2401909256053,中国,发展,美国,经济,国家
2015-06,6.185540655242519,473.3950490486352,中国,美国,发展,国家,经济
2015-07,8.48040371263308,567.8264463031172,中国,发展,国家,美国,经济
2015-08,9.131591584097354,295.9791851590264,中国,美国,经济,发展,国家
2015-09,9.456975124558095,599.3261047274027,中国,发展,美国,合作,经济
2015-10,7.737824750529227,422.93483268512705,中国,发展,经济,美国,国家
2015-11,4.82202478228622,451.4381653901719,中国,发展,经济,国家,美国
2015-12,6.870834861228977,450.1233016117951,中国,发展,经济,美国,国际
2016-01,8.39559881791032,538.2847966514836,中国,发展,美国,经济,国家
2016-02,6.645142602979977,409.1243016868991,中国,发展,经济,美国,国家
2016-03,3.1943118740167407,768.5158682195314,中国,发展,经济,国家,创新
2016-04,7.682490426458943,454.92197673384453,中国,美国,发展,经济,国家
2016-05,6.2100853629229205,685.3717807404149,中国,发展,美国,国家,经济
2016-06,7.177880078115032,1082.0384976679572,中国,发展,合作,经济,国家
2016-07,8.81233672127498,407.71867707178825,中国,美国,南海,发展,国家
2016-08,6.515915866122392,311.8979795586498,中国,发展,经济,美国,国家
2016-09,10.647135070456176,489.6920318223677,中国,发展,经济,世界,美国
2016-10,10.735141554495977,379.4478968204747,中国,发展,美国,国家,经济
2016-11,6.010470222603349,409.75968478589317,中国,发展,合作,国家,经济
2016-12,7.6758486352363215,405.5181296994476,中国,经济,发展,美国,国家
2017-01,6.880097923585094,639.8996398012449,中国,发展,经济,美国,世界
2017-02,5.375500818756887,236.66894544050385,中国,美国,发展,经济,国家
2017-03,7.325359229096847,629.9363397283414,中国,发展,经济,美国,国家
2017-04,7.838385451928687,321.6315734600985,中国,发展,美国,国家,经济
2017-05,8.031336435179316,236.01012998981227,中国,发展,一路,一带,国家
2017-06,6.868908497445253,225.9935275741165,中国,发展,美国,国家,经济
2017-07,11.820010551854816,490.52748612730807,中国,发展,经济,美国,国家
2017-08,9.11575415844616,310.01378378718505,中国,美国,经济,发展,国家
2017-09,8.322108172216822,600.1446558278002,中国,发展,国家,合作,经济
2017-10,11.222407632714775,1595.9485245161618,中国,发展,习近平,新,世界
2017-11,7.326681417303245,345.5252433461395,中国,发展,新,经济,世界
2017-12,7.564909429817102,387.924553593926,中国,发展,世界,经济,国家
2018-01,5.73356702622466,362.6104696009906,中国,发展,美国,经济,世界
2018-02,7.538311977343441,348.9684386205662,中国,发展,美国,新,国家
2018-03,4.6949627234156575,849.1611769590767,中国,发展,美国,国家,新
2018-04,8.927487757315006,403.25391581551963,中国,美国,发展,经济,世界
2018-05,7.945760981283437,222.57354835058186,中国,美国,发展,国家,世界
2018-06,7.573548283703546,334.4062985492996,中国,发展,美国,新,经济
2018-07,5.466662222412856,626.1740799359351,中国,美国,发展,经济,国家
2018-08,9.707283895703146,357.9150797722109,中国,美国,发展,经济,国家
2018-09,2.8951175957543014,813.8090196235478,中国,美国,发展,经济,国际
2018-10,2.129031917824251,1053.050595319582,中国,发展,美国,经济,国家
2018-11,12.023104344238934,583.42020059678,中国,发展,经济,世界,单位
2018-12,11.147243389838037,2787.6282502134413,中国,发展,世界,国家,经济
2019-01,10.952318260534845,305.3065538001784,中国,发展,美国,经济,世界
2019-02,7.2201503024047575,906.3820701952767,中国,发展,国家,美国,经济
2019-03,4.210896980673005,1946.1660690669194,中国,发展,美国,经济,国家
2019-04,7.154925681959378,345.26808613993256,中国,发展,一路,一带,合作
2019-05,7.300618414736903,458.8818122472602,中国,美国,发展,经济,世界
2019-06,8.683391378070931,660.5891147266283,中国,美国,发展,经济,世界
2019-07,12.143014491584685,657.7361499017827,中国,美国,发展,国家,经济
2019-08,11.508499444379915,510.56541043268754,中国,美国,经济,发展,国际
